Day,Anora
2024-08-15,3
2024-08-16,1
2024-08-17,2
2024-08-18,3
2024-08-19,1
2024-08-20,2
2024-08-21,2
2024-08-22,2
2024-08-23,2
2024-08-24,1
2024-08-25,2
2024-08-26,0
2024-08-27,2
2024-08-28,3
2024-08-29,3
2024-08-30,3
2024-08-31,3
2024-09-01,4
2024-09-02,5
2024-09-03,6
2024-09-04,5
2024-09-05,4
2024-09-06,3
2024-09-07,4
2024-09-08,5
2024-09-09,7
2024-09-10,4
2024-09-11,4
2024-09-12,5
2024-09-13,8
2024-09-14,5
2024-09-15,5
2024-09-16,3
2024-09-17,4
2024-09-18,5
2024-09-19,5
2024-09-20,6
2024-09-21,7
2024-09-22,11
2024-09-23,6
2024-09-24,9
2024-09-25,12
2024-09-26,17
2024-09-27,17
2024-09-28,14
2024-09-29,20
2024-09-30,12
2024-10-01,10
2024-10-02,16
2024-10-03,15
2024-10-04,15
2024-10-05,14
2024-10-06,13
2024-10-07,12
2024-10-08,12
2024-10-09,18
2024-10-10,30
2024-10-11,31
2024-10-12,33
2024-10-13,25
2024-10-14,21
2024-10-15,33
2024-10-16,38
2024-10-17,58
2024-10-18,100
2024-10-19,99
2024-10-20,97
2024-10-21,78
2024-10-22,74
2024-10-23,75
2024-10-24,71
2024-10-25,84
2024-10-26,87
2024-10-27,84
2024-10-28,69
