Day,Death of a Unicorn
2025-01-26,1
2025-01-27,1
2025-01-28,1
2025-01-29,1
2025-01-30,1
2025-01-31,1
2025-02-01,1
2025-02-02,1
2025-02-03,1
2025-02-04,1
2025-02-05,1
2025-02-06,1
2025-02-07,1
2025-02-08,1
2025-02-09,1
2025-02-10,0
2025-02-11,1
2025-02-12,1
2025-02-13,1
2025-02-14,1
2025-02-15,1
2025-02-16,2
2025-02-17,4
2025-02-18,1
2025-02-19,2
2025-02-20,1
2025-02-21,2
2025-02-22,2
2025-02-23,2
2025-02-24,1
2025-02-25,2
2025-02-26,1
2025-02-27,3
2025-02-28,5
2025-03-01,7
2025-03-02,6
2025-03-03,3
2025-03-04,3
2025-03-05,3
2025-03-06,3
2025-03-07,4
2025-03-08,6
2025-03-09,10
2025-03-10,7
2025-03-11,7
2025-03-12,7
2025-03-13,7
2025-03-14,6
2025-03-15,9
2025-03-16,10
2025-03-17,7
2025-03-18,7
2025-03-19,10
2025-03-20,12
2025-03-21,14
2025-03-22,15
2025-03-23,15
2025-03-24,15
2025-03-25,23
2025-03-26,26
2025-03-27,40
2025-03-28,81
2025-03-29,100
2025-03-30,79
2025-03-31,46
2025-04-01,39
2025-04-02,31
2025-04-03,27
2025-04-04,34
2025-04-05,53
2025-04-06,48
2025-04-07,26
2025-04-08,22
2025-04-09,20
2025-04-10,15
