Day,Doctor Strange in the Multiverse of Madness
2022-03-05,3
2022-03-06,3
2022-03-07,3
2022-03-08,2
2022-03-09,2
2022-03-10,2
2022-03-11,2
2022-03-12,3
2022-03-13,2
2022-03-14,3
2022-03-15,2
2022-03-16,3
2022-03-17,2
2022-03-18,3
2022-03-19,3
2022-03-20,3
2022-03-21,3
2022-03-22,2
2022-03-23,2
2022-03-24,3
2022-03-25,4
2022-03-26,5
2022-03-27,3
2022-03-28,3
2022-03-29,2
2022-03-30,3
2022-03-31,3
2022-04-01,3
2022-04-02,6
2022-04-03,5
2022-04-04,5
2022-04-05,6
2022-04-06,19
2022-04-07,10
2022-04-08,6
2022-04-09,8
2022-04-10,6
2022-04-11,5
2022-04-12,6
2022-04-13,5
2022-04-14,5
2022-04-15,5
2022-04-16,6
2022-04-17,6
2022-04-18,7
2022-04-19,6
2022-04-20,5
2022-04-21,5
2022-04-22,5
2022-04-23,7
2022-04-24,7
2022-04-25,6
2022-04-26,8
2022-04-27,7
2022-04-28,9
2022-04-29,11
2022-04-30,12
2022-05-01,18
2022-05-02,21
2022-05-03,38
2022-05-04,37
2022-05-05,57
2022-05-06,82
2022-05-07,100
2022-05-08,88
2022-05-09,48
2022-05-10,31
2022-05-11,31
2022-05-12,25
2022-05-13,27
2022-05-14,42
2022-05-15,45
2022-05-16,21
2022-05-17,15
2022-05-18,14
