Day,Don't Look Up
2021-10-09,4
2021-10-10,2
2021-10-11,2
2021-10-12,2
2021-10-13,3
2021-10-14,3
2021-10-15,2
2021-10-16,3
2021-10-17,2
2021-10-18,2
2021-10-19,2
2021-10-20,1
2021-10-21,2
2021-10-22,2
2021-10-23,2
2021-10-24,2
2021-10-25,2
2021-10-26,3
2021-10-27,2
2021-10-28,2
2021-10-29,2
2021-10-30,2
2021-10-31,2
2021-11-01,4
2021-11-02,8
2021-11-03,4
2021-11-04,4
2021-11-05,6
2021-11-06,5
2021-11-07,5
2021-11-08,4
2021-11-09,3
2021-11-10,4
2021-11-11,3
2021-11-12,4
2021-11-13,5
2021-11-14,4
2021-11-15,4
2021-11-16,19
2021-11-17,26
2021-11-18,18
2021-11-19,16
2021-11-20,18
2021-11-21,16
2021-11-22,13
2021-11-23,16
2021-11-24,11
2021-11-25,11
2021-11-26,9
2021-11-27,9
2021-11-28,9
2021-11-29,6
2021-11-30,7
2021-12-01,9
2021-12-02,10
2021-12-03,14
2021-12-04,18
2021-12-05,26
2021-12-06,74
2021-12-07,82
2021-12-08,69
2021-12-09,51
2021-12-10,81
2021-12-11,100
2021-12-12,78
2021-12-13,59
2021-12-14,53
2021-12-15,45
2021-12-16,34
2021-12-17,37
2021-12-18,55
2021-12-19,69
2021-12-20,58
2021-12-21,51
2021-12-22,39
