Day,Don't Worry Darling
2022-07-23,8
2022-07-24,7
2022-07-25,4
2022-07-26,2
2022-07-27,2
2022-07-28,2
2022-07-29,1
2022-07-30,2
2022-07-31,2
2022-08-01,2
2022-08-02,2
2022-08-03,2
2022-08-04,1
2022-08-05,1
2022-08-06,1
2022-08-07,2
2022-08-08,1
2022-08-09,1
2022-08-10,1
2022-08-11,3
2022-08-12,2
2022-08-13,2
2022-08-14,2
2022-08-15,1
2022-08-16,3
2022-08-17,3
2022-08-18,3
2022-08-19,2
2022-08-20,2
2022-08-21,2
2022-08-22,2
2022-08-23,3
2022-08-24,5
2022-08-25,9
2022-08-26,10
2022-08-27,12
2022-08-28,7
2022-08-29,7
2022-08-30,6
2022-08-31,5
2022-09-01,5
2022-09-02,9
2022-09-03,8
2022-09-04,10
2022-09-05,33
2022-09-06,82
2022-09-07,43
2022-09-08,23
2022-09-09,18
2022-09-10,16
2022-09-11,15
2022-09-12,11
2022-09-13,17
2022-09-14,18
2022-09-15,16
2022-09-16,16
2022-09-17,18
2022-09-18,20
2022-09-19,18
2022-09-20,28
2022-09-21,27
2022-09-22,39
2022-09-23,79
2022-09-24,100
2022-09-25,81
2022-09-26,53
2022-09-27,31
2022-09-28,27
2022-09-29,24
2022-09-30,28
2022-10-01,39
2022-10-02,33
2022-10-03,20
2022-10-04,17
2022-10-05,18
