Day,Dune
2021-08-23,3
2021-08-24,2
2021-08-25,2
2021-08-26,2
2021-08-27,2
2021-08-28,3
2021-08-29,3
2021-08-30,2
2021-08-31,2
2021-09-01,2
2021-09-02,2
2021-09-03,6
2021-09-04,8
2021-09-05,7
2021-09-06,6
2021-09-07,4
2021-09-08,3
2021-09-09,3
2021-09-10,3
2021-09-11,3
2021-09-12,4
2021-09-13,3
2021-09-14,3
2021-09-15,3
2021-09-16,4
2021-09-17,4
2021-09-18,5
2021-09-19,6
2021-09-20,6
2021-09-21,5
2021-09-22,4
2021-09-23,4
2021-09-24,4
2021-09-25,4
2021-09-26,5
2021-09-27,4
2021-09-28,6
2021-09-29,4
2021-09-30,4
2021-10-01,4
2021-10-02,5
2021-10-03,5
2021-10-04,5
2021-10-05,4
2021-10-06,4
2021-10-07,5
2021-10-08,6
2021-10-09,6
2021-10-10,6
2021-10-11,6
2021-10-12,5
2021-10-13,5
2021-10-14,7
2021-10-15,7
2021-10-16,8
2021-10-17,11
2021-10-18,13
2021-10-19,15
2021-10-20,17
2021-10-21,27
2021-10-22,77
2021-10-23,100
2021-10-24,91
2021-10-25,59
2021-10-26,41
2021-10-27,35
2021-10-28,25
2021-10-29,25
2021-10-30,34
2021-10-31,31
2021-11-01,21
2021-11-02,17
2021-11-03,14
2021-11-04,14
2021-11-05,15
