Day,Get Out
2016-12-26,<1
2016-12-27,<1
2016-12-28,<1
2016-12-29,<1
2016-12-30,<1
2016-12-31,<1
2017-01-01,<1
2017-01-02,<1
2017-01-03,<1
2017-01-04,<1
2017-01-05,<1
2017-01-06,<1
2017-01-07,<1
2017-01-08,<1
2017-01-09,<1
2017-01-10,<1
2017-01-11,<1
2017-01-12,<1
2017-01-13,1
2017-01-14,1
2017-01-15,1
2017-01-16,1
2017-01-17,2
2017-01-18,1
2017-01-19,<1
2017-01-20,1
2017-01-21,1
2017-01-22,1
2017-01-23,1
2017-01-24,1
2017-01-25,1
2017-01-26,2
2017-01-27,2
2017-01-28,2
2017-01-29,4
2017-01-30,3
2017-01-31,5
2017-02-01,4
2017-02-02,4
2017-02-03,4
2017-02-04,5
2017-02-05,5
2017-02-06,3
2017-02-07,3
2017-02-08,3
2017-02-09,4
2017-02-10,4
2017-02-11,6
2017-02-12,7
2017-02-13,7
2017-02-14,4
2017-02-15,5
2017-02-16,5
2017-02-17,7
2017-02-18,9
2017-02-19,9
2017-02-20,11
2017-02-21,10
2017-02-22,17
2017-02-23,29
2017-02-24,60
2017-02-25,91
2017-02-26,100
2017-02-27,63
2017-02-28,41
2017-03-01,35
2017-03-02,40
2017-03-03,44
2017-03-04,67
2017-03-05,72
2017-03-06,41
2017-03-07,32
2017-03-08,26
2017-03-09,31
2017-03-10,40
