Day,Glass Onion: A Knives Out Mystery
2022-09-24,5
2022-09-25,5
2022-09-26,0
2022-09-27,4
2022-09-28,0
2022-09-29,0
2022-09-30,0
2022-10-01,0
2022-10-02,0
2022-10-03,0
2022-10-04,0
2022-10-05,0
2022-10-06,0
2022-10-07,5
2022-10-08,0
2022-10-09,0
2022-10-10,0
2022-10-11,6
2022-10-12,0
2022-10-13,0
2022-10-14,0
2022-10-15,0
2022-10-16,0
2022-10-17,0
2022-10-18,6
2022-10-19,4
2022-10-20,0
2022-10-21,4
2022-10-22,5
2022-10-23,4
2022-10-24,0
2022-10-25,0
2022-10-26,4
2022-10-27,0
2022-10-28,0
2022-10-29,4
2022-10-30,0
2022-10-31,0
2022-11-01,0
2022-11-02,0
2022-11-03,5
2022-11-04,0
2022-11-05,6
2022-11-06,0
2022-11-07,14
2022-11-08,7
2022-11-09,6
2022-11-10,5
2022-11-11,0
2022-11-12,4
2022-11-13,4
2022-11-14,5
2022-11-15,4
2022-11-16,0
2022-11-17,5
2022-11-18,7
2022-11-19,14
2022-11-20,15
2022-11-21,26
2022-11-22,25
2022-11-23,54
2022-11-24,95
2022-11-25,100
2022-11-26,88
2022-11-27,74
2022-11-28,37
2022-11-29,24
2022-11-30,19
2022-12-01,8
2022-12-02,11
2022-12-03,12
2022-12-04,11
2022-12-05,6
2022-12-06,7
2022-12-07,8
