Day,Inside Out
2015-04-18,2
2015-04-19,2
2015-04-20,2
2015-04-21,2
2015-04-22,2
2015-04-23,2
2015-04-24,2
2015-04-25,3
2015-04-26,3
2015-04-27,2
2015-04-28,2
2015-04-29,2
2015-04-30,2
2015-05-01,2
2015-05-02,3
2015-05-03,3
2015-05-04,3
2015-05-05,2
2015-05-06,2
2015-05-07,2
2015-05-08,3
2015-05-09,3
2015-05-10,4
2015-05-11,3
2015-05-12,3
2015-05-13,3
2015-05-14,3
2015-05-15,3
2015-05-16,4
2015-05-17,4
2015-05-18,4
2015-05-19,4
2015-05-20,4
2015-05-21,4
2015-05-22,4
2015-05-23,7
2015-05-24,7
2015-05-25,7
2015-05-26,5
2015-05-27,5
2015-05-28,5
2015-05-29,5
2015-05-30,7
2015-05-31,8
2015-06-01,5
2015-06-02,6
2015-06-03,7
2015-06-04,7
2015-06-05,8
2015-06-06,10
2015-06-07,10
2015-06-08,8
2015-06-09,9
2015-06-10,10
2015-06-11,11
2015-06-12,12
2015-06-13,18
2015-06-14,18
2015-06-15,15
2015-06-16,17
2015-06-17,21
2015-06-18,30
2015-06-19,74
2015-06-20,100
2015-06-21,90
2015-06-22,56
2015-06-23,47
2015-06-24,43
2015-06-25,41
2015-06-26,45
2015-06-27,64
2015-06-28,63
2015-06-29,39
2015-06-30,32
2015-07-01,31
