Day,La La Land
2016-10-16,4
2016-10-17,5
2016-10-18,4
2016-10-19,4
2016-10-20,3
2016-10-21,4
2016-10-22,5
2016-10-23,6
2016-10-24,4
2016-10-25,4
2016-10-26,4
2016-10-27,5
2016-10-28,4
2016-10-29,4
2016-10-30,5
2016-10-31,4
2016-11-01,4
2016-11-02,4
2016-11-03,8
2016-11-04,9
2016-11-05,9
2016-11-06,8
2016-11-07,8
2016-11-08,5
2016-11-09,3
2016-11-10,4
2016-11-11,6
2016-11-12,6
2016-11-13,8
2016-11-14,7
2016-11-15,7
2016-11-16,8
2016-11-17,7
2016-11-18,6
2016-11-19,8
2016-11-20,9
2016-11-21,8
2016-11-22,16
2016-11-23,9
2016-11-24,10
2016-11-25,11
2016-11-26,10
2016-11-27,10
2016-11-28,10
2016-11-29,8
2016-11-30,10
2016-12-01,14
2016-12-02,17
2016-12-03,17
2016-12-04,17
2016-12-05,17
2016-12-06,18
2016-12-07,24
2016-12-08,30
2016-12-09,50
2016-12-10,54
2016-12-11,52
2016-12-12,87
2016-12-13,64
2016-12-14,46
2016-12-15,51
2016-12-16,70
2016-12-17,100
2016-12-18,98
2016-12-19,71
2016-12-20,67
2016-12-21,69
2016-12-22,73
2016-12-23,87
