Day,Oppenheimer
2023-05-20,1
2023-05-21,2
2023-05-22,1
2023-05-23,2
2023-05-24,2
2023-05-25,1
2023-05-26,1
2023-05-27,1
2023-05-28,1
2023-05-29,1
2023-05-30,1
2023-05-31,1
2023-06-01,2
2023-06-02,4
2023-06-03,4
2023-06-04,3
2023-06-05,3
2023-06-06,2
2023-06-07,2
2023-06-08,2
2023-06-09,2
2023-06-10,3
2023-06-11,2
2023-06-12,2
2023-06-13,2
2023-06-14,2
2023-06-15,1
2023-06-16,2
2023-06-17,2
2023-06-18,2
2023-06-19,2
2023-06-20,2
2023-06-21,3
2023-06-22,3
2023-06-23,3
2023-06-24,3
2023-06-25,3
2023-06-26,4
2023-06-27,4
2023-06-28,4
2023-06-29,4
2023-06-30,4
2023-07-01,5
2023-07-02,5
2023-07-03,4
2023-07-04,5
2023-07-05,4
2023-07-06,5
2023-07-07,8
2023-07-08,11
2023-07-09,12
2023-07-10,12
2023-07-11,13
2023-07-12,16
2023-07-13,16
2023-07-14,19
2023-07-15,21
2023-07-16,24
2023-07-17,22
2023-07-18,25
2023-07-19,36
2023-07-20,46
2023-07-21,81
2023-07-22,100
2023-07-23,96
2023-07-24,71
2023-07-25,53
2023-07-26,41
2023-07-27,35
2023-07-28,37
2023-07-29,45
2023-07-30,43
2023-07-31,28
2023-08-01,22
2023-08-02,20
