Day,"Red, White & Royal Blue"
2023-06-12,2
2023-06-13,2
2023-06-14,2
2023-06-15,2
2023-06-16,1
2023-06-17,1
2023-06-18,1
2023-06-19,1
2023-06-20,1
2023-06-21,1
2023-06-22,1
2023-06-23,1
2023-06-24,1
2023-06-25,1
2023-06-26,1
2023-06-27,1
2023-06-28,1
2023-06-29,1
2023-06-30,1
2023-07-01,<1
2023-07-02,1
2023-07-03,2
2023-07-04,4
2023-07-05,5
2023-07-06,11
2023-07-07,9
2023-07-08,7
2023-07-09,6
2023-07-10,4
2023-07-11,4
2023-07-12,3
2023-07-13,3
2023-07-14,2
2023-07-15,2
2023-07-16,2
2023-07-17,2
2023-07-18,2
2023-07-19,2
2023-07-20,2
2023-07-21,2
2023-07-22,2
2023-07-23,2
2023-07-24,2
2023-07-25,3
2023-07-26,2
2023-07-27,3
2023-07-28,3
2023-07-29,3
2023-07-30,3
2023-07-31,3
2023-08-01,5
2023-08-02,6
2023-08-03,6
2023-08-04,8
2023-08-05,9
2023-08-06,8
2023-08-07,10
2023-08-08,11
2023-08-09,12
2023-08-10,25
2023-08-11,86
2023-08-12,100
2023-08-13,78
2023-08-14,54
2023-08-15,42
2023-08-16,36
2023-08-17,30
2023-08-18,28
2023-08-19,35
2023-08-20,31
2023-08-21,22
2023-08-22,19
2023-08-23,17
2023-08-24,15
2023-08-25,13
