Day,The Flash
2023-04-14,7
2023-04-15,7
2023-04-16,7
2023-04-17,7
2023-04-18,6
2023-04-19,6
2023-04-20,7
2023-04-21,7
2023-04-22,8
2023-04-23,10
2023-04-24,10
2023-04-25,13
2023-04-26,21
2023-04-27,17
2023-04-28,12
2023-04-29,13
2023-04-30,12
2023-05-01,9
2023-05-02,8
2023-05-03,8
2023-05-04,11
2023-05-05,10
2023-05-06,10
2023-05-07,12
2023-05-08,9
2023-05-09,17
2023-05-10,15
2023-05-11,12
2023-05-12,10
2023-05-13,10
2023-05-14,11
2023-05-15,11
2023-05-16,9
2023-05-17,9
2023-05-18,14
2023-05-19,12
2023-05-20,12
2023-05-21,11
2023-05-22,11
2023-05-23,13
2023-05-24,17
2023-05-25,21
2023-05-26,18
2023-05-27,16
2023-05-28,19
2023-05-29,15
2023-05-30,18
2023-05-31,14
2023-06-01,14
2023-06-02,17
2023-06-03,18
2023-06-04,20
2023-06-05,16
2023-06-06,22
2023-06-07,22
2023-06-08,19
2023-06-09,18
2023-06-10,19
2023-06-11,20
2023-06-12,19
2023-06-13,25
2023-06-14,28
2023-06-15,50
2023-06-16,96
2023-06-17,100
2023-06-18,98
2023-06-19,72
2023-06-20,49
2023-06-21,38
2023-06-22,27
2023-06-23,26
2023-06-24,34
2023-06-25,37
2023-06-26,25
2023-06-27,20
