Day,The Greatest Showman
2017-10-21,<1
2017-10-22,<1
2017-10-23,0
2017-10-24,0
2017-10-25,0
2017-10-26,0
2017-10-27,<1
2017-10-28,<1
2017-10-29,<1
2017-10-30,<1
2017-10-31,<1
2017-11-01,<1
2017-11-02,1
2017-11-03,1
2017-11-04,1
2017-11-05,1
2017-11-06,1
2017-11-07,<1
2017-11-08,<1
2017-11-09,<1
2017-11-10,<1
2017-11-11,1
2017-11-12,1
2017-11-13,2
2017-11-14,4
2017-11-15,2
2017-11-16,1
2017-11-17,3
2017-11-18,3
2017-11-19,3
2017-11-20,3
2017-11-21,2
2017-11-22,3
2017-11-23,5
2017-11-24,4
2017-11-25,6
2017-11-26,5
2017-11-27,4
2017-11-28,5
2017-11-29,5
2017-11-30,4
2017-12-01,4
2017-12-02,4
2017-12-03,6
2017-12-04,4
2017-12-05,4
2017-12-06,5
2017-12-07,4
2017-12-08,6
2017-12-09,9
2017-12-10,9
2017-12-11,7
2017-12-12,8
2017-12-13,8
2017-12-14,6
2017-12-15,8
2017-12-16,11
2017-12-17,18
2017-12-18,19
2017-12-19,20
2017-12-20,34
2017-12-21,47
2017-12-22,62
2017-12-23,74
2017-12-24,61
2017-12-25,94
2017-12-26,100
2017-12-27,86
2017-12-28,82
2017-12-29,89
2017-12-30,98
2017-12-31,84
2018-01-01,84
2018-01-02,70
2018-01-03,58
