Day,The Menu
2022-09-18,3
2022-09-19,2
2022-09-20,1
2022-09-21,1
2022-09-22,1
2022-09-23,1
2022-09-24,2
2022-09-25,2
2022-09-26,3
2022-09-27,2
2022-09-28,2
2022-09-29,1
2022-09-30,1
2022-10-01,1
2022-10-02,2
2022-10-03,1
2022-10-04,1
2022-10-05,1
2022-10-06,6
2022-10-07,4
2022-10-08,3
2022-10-09,3
2022-10-10,2
2022-10-11,2
2022-10-12,2
2022-10-13,1
2022-10-14,2
2022-10-15,2
2022-10-16,2
2022-10-17,2
2022-10-18,2
2022-10-19,1
2022-10-20,2
2022-10-21,2
2022-10-22,3
2022-10-23,8
2022-10-24,6
2022-10-25,15
2022-10-26,9
2022-10-27,6
2022-10-28,4
2022-10-29,7
2022-10-30,9
2022-10-31,5
2022-11-01,6
2022-11-02,5
2022-11-03,8
2022-11-04,8
2022-11-05,10
2022-11-06,13
2022-11-07,8
2022-11-08,7
2022-11-09,7
2022-11-10,8
2022-11-11,9
2022-11-12,16
2022-11-13,15
2022-11-14,18
2022-11-15,27
2022-11-16,30
2022-11-17,40
2022-11-18,78
2022-11-19,100
2022-11-20,91
2022-11-21,50
2022-11-22,47
2022-11-23,51
2022-11-24,50
2022-11-25,60
2022-11-26,68
2022-11-27,61
2022-11-28,33
2022-11-29,29
2022-11-30,29
2022-12-01,25
